atlas_row_index,nct_id,source_url,api_url,brief_title,tissue_type,line_of_therapy,biomarker,arm_group_id,ctgov_result_group_ids,ctgov_result_group_titles,arm_title,arm_description,interventions,regimen,therapy_class,is_combination,orr_pct,orr_n,orr_denom,orr_endpoint_title,orr_time_frame,model_orr_pct,model_orr_pct_source,model_orr_pct_pmid,pubmed_orr_pct,pubmed_orr_pct_pmid,used_by_n_target_rows,used_as_support_cells,target_surface_pair_ids,ctgov_audit_status,ctgov_verified_orr_pct,ctgov_value_delta,ctgov_outcome_title,ctgov_outcome_type,ctgov_outcome_time_frame,ctgov_param_type,ctgov_unit_of_measure,ctgov_class_title,ctgov_category_title,ctgov_group_id,ctgov_group_title,ctgov_measurement_value,ctgov_measurement_denominator,ctgov_measurement_pct,ctgov_lower_limit,ctgov_upper_limit,ctgov_citation,ctgov_api_citation,ctgov_retrieved_date,ctgov_audit_note
582,NCT00453310,https://clinicaltrials.gov/study/NCT00453310,https://clinicaltrials.gov/api/v2/studies/NCT00453310,Sunitinib in Treating Patients With Metastatic Germ Cell Tumors That Have Relapsed or Not Responded to Treatment,ovarian_fallopian_peritoneal,2L+,no,OG000,OG000,Sunitinib Malate,sunitinib malate,The dose of sunitinib malate will be a continuous daily dose of 37.5 mg administered orally for 6 weeks. The cycle of therapy is 42 days (or 6 weeks),sunitinib malate,sunitinib malate | The dose of sunitinib malate will be a continuous daily dose of 37.5 mg administered orally for 6 weeks. The cycle of therapy is 42 days (or 6 weeks),targeted_therapy,False,30,3,10,Confirmed Objective Response Rate (Complete and Partial Response) as Measured by RECIST Criteria After 2 Courses of Treatment,2 years,30,ctgov,,,,28,disease_therapy;fallback_disease_baseline;global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::mifepristone;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::temsirolimus,ctgov_no_matching_orr_measurement,,,,,,,,,,,,,,,,,https://clinicaltrials.gov/study/NCT00453310,https://clinicaltrials.gov/api/v2/studies/NCT00453310,2026-06-03,
1519,NCT00661609,https://clinicaltrials.gov/study/NCT00661609,https://clinicaltrials.gov/api/v2/studies/NCT00661609,A Phase II Study of AZD4877 (a Novel Anti-mitotic Agent) in Advanced Bladder Cancer,bladder_urothelial,adjuvant,no,OG000,OG000,AZD4877,AZD4877,Single agent AZD4877,AZD4877,AZD4877 | Single agent AZD4877,targeted_therapy,False,6.66667,2.6,39,Objective Response Rate (ORR) as Evaluated by Response Evaluation Criteria In Solid Tumors (RECIST),8 weeks after study drug begins & and every 8 wks thereafter until discontinuation of study drug ( maximum treatment period of 309 days (44 weeks),6.66667,ctgov,,,,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,ctgov_value_mismatch,2.6,-4.06667,Objective Response Rate (ORR) as Evaluated by Response Evaluation Criteria In Solid Tumors (RECIST),PRIMARY,8 weeks after study drug begins & and every 8 wks thereafter until discontinuation of study drug ( maximum treatment period of 309 days (44 weeks),NUMBER,Percengate of participants,,,OG000,AZD4877,2.6,39.0,2.6,,,https://clinicaltrials.gov/study/NCT00661609,https://clinicaltrials.gov/api/v2/studies/NCT00661609,2026-06-03,
2448,NCT01259375,https://clinicaltrials.gov/study/NCT01259375,https://clinicaltrials.gov/api/v2/studies/NCT01259375,Amrubicin Chemotherapy as First Line in Metastatic or Unresectable Soft Tissue Sarcoma,sarcoma_gist_bone,1L,no,OG000__all_groups_df42bb11,OG000,All Groups,All Groups,All patients who had a partial or greater response,Amrubicin,All Groups | All patients who had a partial or greater response | Amrubicin,chemotherapy,False,33.3333,1,3,Differential Response to Amurbicin Among Certain Histologic Subtypes of Sarcoma.,48 months,33.3333,ctgov,,,,29,fallback_global_therapy;global_therapy,breast::docetaxel;breast::doxorubicin;breast::gemcitabine;breast::paclitaxel;crc::fluorouracil;crc::irinotecan;crc::oxaliplatin;crc::pemetrexed;crc::raltitrexed;gastric::irinotecan;gastric::pemetrexed;hnscc::methotrexate;nsclc::docetaxel;nsclc::epirubicin;nsclc::gemcitabine;nsclc::idarubicin;nsclc::irinotecan;nsclc::mitoxantrone;nsclc::paclitaxel;nsclc::pemetrexed;ovarian::altretamine;ovarian::docetaxel;ovarian::gemcitabine;ovarian::paclitaxel;ovarian::pemetrexed;ovarian::topotecan;pdac::fluorouracil;pdac::gemcitabine;prostate::mitoxantrone,ctgov_no_matching_orr_measurement,,,,,,,,,,,,,,,,,https://clinicaltrials.gov/study/NCT01259375,https://clinicaltrials.gov/api/v2/studies/NCT01259375,2026-06-03,
2568,NCT00470275,https://clinicaltrials.gov/study/NCT00470275,https://clinicaltrials.gov/api/v2/studies/NCT00470275,Cytarabine in Treating Young Patients With Recurrent or Refractory Ewing's Sarcoma,sarcoma_gist_bone,2L+,no,OG000,OG000,Cytarabine,Cytarabine,Cytarabine IV every 12 hours days 1-5 of 21 day cycle. Response evaluation after 6 cycles of therapy.,cytarabine,Cytarabine | Cytarabine IV every 12 hours days 1-5 of 21 day cycle. Response evaluation after 6 cycles of therapy. | cytarabine,chemotherapy,False,100,10,10,Response,the first six cycles of study chemotherapy (126 days),100,ctgov,,,,29,fallback_global_therapy;global_therapy,breast::docetaxel;breast::doxorubicin;breast::gemcitabine;breast::paclitaxel;crc::fluorouracil;crc::irinotecan;crc::oxaliplatin;crc::pemetrexed;crc::raltitrexed;gastric::irinotecan;gastric::pemetrexed;hnscc::methotrexate;nsclc::docetaxel;nsclc::epirubicin;nsclc::gemcitabine;nsclc::idarubicin;nsclc::irinotecan;nsclc::mitoxantrone;nsclc::paclitaxel;nsclc::pemetrexed;ovarian::altretamine;ovarian::docetaxel;ovarian::gemcitabine;ovarian::paclitaxel;ovarian::pemetrexed;ovarian::topotecan;pdac::fluorouracil;pdac::gemcitabine;prostate::mitoxantrone,ctgov_value_mismatch,0.0,-100.0,Response,PRIMARY,the first six cycles of study chemotherapy (126 days),NUMBER,participants,Responder,,OG000,Cytarabine,0,10.0,0.0,,,https://clinicaltrials.gov/study/NCT00470275,https://clinicaltrials.gov/api/v2/studies/NCT00470275,2026-06-03,
3862,NCT00866320,https://clinicaltrials.gov/study/NCT00866320,https://clinicaltrials.gov/api/v2/studies/NCT00866320,Sorafenib in Treating Patients With Metastatic Kidney Cancer That Has Not Responded to Sunitinib or Bevacizumab,renal,2L+,no,OG000,OG000,Sorafenib,Sorafenib,Chemotherapy single agent systemic. Sorafenib given up to 600mg orally every 12 hours for up to 10 months (40 weeks).,sorafenib tosylate,Sorafenib | Chemotherapy single agent systemic. Sorafenib given up to 600mg orally every 12 hours for up to 10 months (40 weeks). | sorafenib tosylate,chemotherapy;targeted_therapy,False,30,30,47,Tumor Burden Reduction Rate (TBRR),at 8 weeks (2cycles of treatment),30,ctgov,,,,56,disease_therapy;fallback_global_therapy;global_therapy,breast::bortezomib;breast::docetaxel;breast::doxorubicin;breast::erlotinib;breast::gefitinib;breast::gemcitabine;breast::paclitaxel;crc::bortezomib;crc::cabozantinib;crc::fluorouracil;crc::gefitinib;crc::irinotecan;crc::oxaliplatin;crc::pemetrexed;crc::raltitrexed;crc::regorafenib;gastric::erlotinib;gastric::everolimus;gastric::irinotecan;gastric::lapatinib;gastric::pemetrexed;gastric::regorafenib;hnscc::methotrexate;nsclc::afatinib;nsclc::bortezomib;nsclc::docetaxel;nsclc::epirubicin;nsclc::erlotinib;nsclc::gefitinib;nsclc::gemcitabine;nsclc::idarubicin;nsclc::irinotecan;nsclc::lapatinib;nsclc::mitoxantrone;nsclc::paclitaxel;nsclc::pemetrexed;nsclc::vandetanib;nsclc::volasertib;ovarian::altretamine;ovarian::bortezomib;ovarian::docetaxel;ovarian::gemcitabine;ovarian::paclitaxel;ovarian::pemetrexed;ovarian::temsirolimus;ovarian::topotecan;pdac::abemaciclib;pdac::erlotinib;pdac::fluorouracil;pdac::gemcitabine;prostate::mitoxantrone;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::temsirolimus,ctgov_no_matching_orr_measurement,,,,,,,,,,,,,,,,,https://clinicaltrials.gov/study/NCT00866320,https://clinicaltrials.gov/api/v2/studies/NCT00866320,2026-06-03,
9268,NCT00409292,https://clinicaltrials.gov/study/NCT00409292,https://clinicaltrials.gov/api/v2/studies/NCT00409292,RAD001 in Previously Treated Patients With Metastatic Pancreatic Cancer,pancreatic,2L+,no,OG000,OG000,RAD001,RAD001,"RAD001 was administered continuously at a dose of 10 mg daily by mouth until disease progression, unacceptable toxicity, or withdrawal of consent. Four weeks of study drug was considered to be one cycle of treatment.",RAD001,"RAD001 | RAD001 was administered continuously at a dose of 10 mg daily by mouth until disease progression, unacceptable toxicity, or withdrawal of consent. Four weeks of study drug was considered to be one cycle of treatment.",targeted_therapy,False,24.1379,7,29,to Assess Response Rate Associated With RAD001 in This Patient Population.,2 years,24.1379,ctgov,,,,33,disease_therapy;global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,ctgov_no_matching_orr_measurement,,,,,,,,,,,,,,,,,https://clinicaltrials.gov/study/NCT00409292,https://clinicaltrials.gov/api/v2/studies/NCT00409292,2026-06-03,
10228,NCT04698915,https://clinicaltrials.gov/study/NCT04698915,https://clinicaltrials.gov/api/v2/studies/NCT04698915,Phase 2b Study of GC4711 in Combination With SBRT for Nonmetastatic Pancreatic Cancer,pancreatic,1L,no,OG000,OG000,Arm A Active GC4711,Arm A Active GC4711,Drug GC4711: 15 Minute IV Infusion,Drug GC4711,Arm A Active GC4711 | Drug GC4711: 15 Minute IV Infusion | Drug GC4711,targeted_therapy,False,,,,,,88,pubmed,38039992,88,38039992,33,disease_therapy;global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,ctgov_no_matching_orr_measurement,,,,,,,,,,,,,,,,,https://clinicaltrials.gov/study/NCT04698915,https://clinicaltrials.gov/api/v2/studies/NCT04698915,2026-06-03,Atlas model ORR source is pubmed; no matching CTGov ORR measurement was found by group/title.
12033,NCT00454194,https://clinicaltrials.gov/study/NCT00454194,https://clinicaltrials.gov/api/v2/studies/NCT00454194,Pemetrexed Disodium With or Without Sorafenib as Second-Line Therapy in Treating Patients With Stage IIIB or Stage IV Non-Small Cell Lung Cancer,nsclc,2L,no,OG001,OG001,Arm II (Pemetrexed),Arm II (Pemetrexed),Patients receive pemetrexed disodium IV over 10 minutes on day 1.,pemetrexed disodium,Arm II (Pemetrexed) | Patients receive pemetrexed disodium IV over 10 minutes on day 1. | pemetrexed disodium,chemotherapy,False,19.2157,9.8,51,Confirmed Response Rate (Complete Response and Partial Response) as Assessed by Response Evaluation Criteria in Solid Tumors (RECIST),Up to 5 years,19.2157,ctgov,,,,25,disease_therapy;fallback_global_therapy;global_therapy,breast::docetaxel;breast::doxorubicin;breast::gemcitabine;breast::paclitaxel;crc::fluorouracil;crc::irinotecan;crc::oxaliplatin;crc::raltitrexed;gastric::irinotecan;hnscc::methotrexate;nsclc::docetaxel;nsclc::epirubicin;nsclc::gemcitabine;nsclc::idarubicin;nsclc::irinotecan;nsclc::mitoxantrone;nsclc::paclitaxel;ovarian::altretamine;ovarian::docetaxel;ovarian::gemcitabine;ovarian::paclitaxel;ovarian::topotecan;pdac::fluorouracil;pdac::gemcitabine;prostate::mitoxantrone,ctgov_value_mismatch,9.8,-9.415699999999998,Confirmed Response Rate (Complete Response and Partial Response) as Assessed by Response Evaluation Criteria in Solid Tumors (RECIST),SECONDARY,Up to 5 years,NUMBER,percentage of participants,Confirmed Response (Partial Response),,OG001,Arm II (Pemetrexed),9.8,51.0,9.8,,,https://clinicaltrials.gov/study/NCT00454194,https://clinicaltrials.gov/api/v2/studies/NCT00454194,2026-06-03,
14965,NCT00706628,https://clinicaltrials.gov/study/NCT00706628,https://clinicaltrials.gov/api/v2/studies/NCT00706628,A Multi-centre 3-arm Randomised Phase II Trial of BIBF 1120 Versus BIBW 2992 Versus Sequential Administration of BIBF 1120 and BIBW 2992 in Patients With Hormone-resistant Prostate Cancer,prostate,2L+,no,OG000__bibf_1120_monotherapy_c73eb34b,OG000,BIBF 1120 Monotherapy,BIBF 1120 Monotherapy,250 mg soft gelatine capsules administered orally twice a day (BID). Continuous daily dosing in 28-day cycles. Patients were eligible for repeated treatment cycles for 48 weeks in the absence of clinical disease progression.,BIBF 1120,BIBF 1120 Monotherapy | 250 mg soft gelatine capsules administered orally twice a day (BID). Continuous daily dosing in 28-day cycles. Patients were eligible for repeated treatment cycles for 48 weeks in the absence of clinical disease progression. | BIBF 1120,targeted_therapy,False,8.3,8.3,12,"RECIST Tumour Progression Rate at 12, 24, 36, and 48 Weeks","12, 24, 36, and 48 weeks",8.3,ctgov,,,,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,ctgov_no_matching_orr_measurement,,,,,,,,,,,,,,,,,https://clinicaltrials.gov/study/NCT00706628,https://clinicaltrials.gov/api/v2/studies/NCT00706628,2026-06-03,
14966,NCT00706628,https://clinicaltrials.gov/study/NCT00706628,https://clinicaltrials.gov/api/v2/studies/NCT00706628,A Multi-centre 3-arm Randomised Phase II Trial of BIBF 1120 Versus BIBW 2992 Versus Sequential Administration of BIBF 1120 and BIBW 2992 in Patients With Hormone-resistant Prostate Cancer,prostate,2L+,no,OG001,OG001,BIBW 2992 Monotherapy,BIBW 2992 Monotherapy,40 mg tablets administered orally once a day (QD). Continuous daily dosing in 28-day cycles. Patients were eligible for repeated treatment cycles for 48 weeks in the absence of clinical disease progression.,BIBW 2992,BIBW 2992 Monotherapy | 40 mg tablets administered orally once a day (QD). Continuous daily dosing in 28-day cycles. Patients were eligible for repeated treatment cycles for 48 weeks in the absence of clinical disease progression. | BIBW 2992,targeted_therapy,False,50,50,8,"RECIST Tumour Progression Rate at 12, 24, 36, and 48 Weeks","12, 24, 36, and 48 weeks",50,ctgov,,,,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,ctgov_no_matching_orr_measurement,,,,,,,,,,,,,,,,,https://clinicaltrials.gov/study/NCT00706628,https://clinicaltrials.gov/api/v2/studies/NCT00706628,2026-06-03,
17451,NCT01453595,https://clinicaltrials.gov/study/NCT01453595,https://clinicaltrials.gov/api/v2/studies/NCT01453595,BEZ235 in Patients With Advanced Renal Cell Carcinoma (RCC),renal,2L+,no,OG000,OG000,Cohort -1: BEZ235 200mg,Cohort -1: BEZ235 200mg,Cohort -1: BEZ235 200mg by mouth twice daily,BEZ235,Cohort -1: BEZ235 200mg | Cohort -1: BEZ235 200mg by mouth twice daily | BEZ235,targeted_therapy,False,60,3,5,Objective Response Rate (ORR),1 year,60,ctgov,,,,33,disease_therapy;global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,ctgov_no_matching_orr_measurement,,,,,,,,,,,,,,,,,https://clinicaltrials.gov/study/NCT01453595,https://clinicaltrials.gov/api/v2/studies/NCT01453595,2026-06-03,
